编码,图层,面积(公顷),中心X,中心Y
YD-A-1,YD-A_边线,0.3202,40963.66,212865.19
YD-A33-1,YD-A33_边线,3.4256,40793.2,212874.36
YD-A33-2,YD-A33_边线,1.9342,40931.04,213671.16
YD-A33-3,YD-A33_边线,8.8222,39913.1,212677.03
YD-A33-4,YD-A33_边线,0.0622,39922.92,212720.7
YD-A4-1,YD-A4_边线,0.1554,40558.28,213072.17
YD-A4-2,YD-A4_边线,0.7892,40872.72,213438.49
YD-A4-3,YD-A4_边线,0.8553,40687.58,213485.15
YD-A4-4,YD-A4_边线,0.9234,41303.17,213329.61
YD-A4-5,YD-A4_边线,1.0166,41086.44,213385.15
YD-A4-6,YD-A4_边线,5.6782,40642.63,213261.1
YD-B1B2-1,YD-B1B2_边线,0.8335,40751.41,213916.68
YD-B1B2-10,YD-B1B2_边线,0.3514,40380.28,212575.9
YD-B1B2-2,YD-B1B2_边线,1.1549,40833.48,213873.0
YD-B1B2-3,YD-B1B2_边线,1.4714,41260.02,213241.9
YD-B1B2-4,YD-B1B2_边线,4.653,40815.4,213146.48
YD-B1B2-5,YD-B1B2_边线,1.8213,41177.25,213741.26
YD-B1B2-6,YD-B1B2_边线,1.2771,41190.38,213861.85
YD-B1B2-7,YD-B1B2_边线,1.5205,40851.22,213343.9
YD-B1B2-8,YD-B1B2_边线,1.2443,41033.38,213298.94
YD-B1B2-9,YD-B1B2_边线,3.7057,40576.58,212859.33
YD-B41-1,YD-B41_边线,0.6525,41272.41,213822.25
YD-E1-1,YD-E1_边线,0.8815,40694.3,212713.53
YD-E1-10,YD-E1_边线,0.4455,41108.59,213330.86
YD-E1-11,YD-E1_边线,4.4454,40089.43,212774.27
YD-E1-2,YD-E1_边线,0.4105,41030.98,212776.98
YD-E1-3,YD-E1_边线,0.7518,41219.17,212676.23
YD-E1-4,YD-E1_边线,0.1099,41081.14,212895.99
YD-E1-5,YD-E1_边线,0.2657,40678.6,213453.93
YD-E1-6,YD-E1_边线,0.2467,41290.22,213300.11
YD-E1-7,YD-E1_边线,0.2325,40864.83,213407.09
YD-E1-8,YD-E1_边线,0.2229,41109.64,213102.04
YD-E1-9,YD-E1_边线,0.0478,41219.66,213361.39
YD-E2-1,YD-E2_边线,9.0062,40246.76,212837.97
YD-E2-2,YD-E2_边线,0.0591,41171.95,212778.42
YD-E2-3,YD-E2_边线,0.0622,39922.92,212720.7
YD-E2-4,YD-E2_边线,0.3142,40003.75,212784.8
YD-E2-5,YD-E2_边线,0.0834,39875.22,212994.93
YD-E2-6,YD-E2_边线,0.0539,39838.35,212998.36
YD-G1-1,YD-G1_边线,0.4059,41009.69,212795.98
YD-G1-10,YD-G1_边线,0.6683,41106.8,213295.11
YD-G1-11,YD-G1_边线,0.1874,41287.79,213288.81
YD-G1-12,YD-G1_边线,1.4439,40679.24,212737.77
YD-G1-13,YD-G1_边线,0.1995,40483.09,212861.79
YD-G1-14,YD-G1_边线,0.1629,40946.59,213728.9
YD-G1-15,YD-G1_边线,0.5505,40799.24,213726.46
YD-G1-16,YD-G1_边线,0.0773,40597.38,213827.08
YD-G1-17,YD-G1_边线,0.1347,40470.94,213862.77
YD-G1-18,YD-G1_边线,0.0803,40342.96,213898.67
YD-G1-19,YD-G1_边线,0.1615,40186.67,213952.93
YD-G1-2,YD-G1_边线,1.2453,41250.63,212684.43
YD-G1-20,YD-G1_边线,12.3019,40236.35,212852.5
YD-G1-21,YD-G1_边线,9.0057,40246.76,212837.96
YD-G1-22,YD-G1_边线,0.3906,39853.14,212990.97
YD-G1-23,YD-G1_边线,0.0541,39838.33,212998.36
YD-G1-24,YD-G1_边线,0.0835,39875.21,212994.93
YD-G1-25,YD-G1_边线,3.2298,40025.77,212755.3
YD-G1-26,YD-G1_边线,0.3142,40003.75,212784.8
YD-G1-27,YD-G1_边线,0.3255,40361.38,212594.74
YD-G1-3,YD-G1_边线,0.2048,41065.5,212895.81
YD-G1-4,YD-G1_边线,2.6497,40497.77,213975.38
YD-G1-5,YD-G1_边线,0.2825,41192.62,213638.92
YD-G1-6,YD-G1_边线,0.0815,41211.06,213472.32
YD-G1-7,YD-G1_边线,0.585,40584.33,213311.42
YD-G1-8,YD-G1_边线,0.159,40862.5,213394.97
YD-G1-9,YD-G1_边线,0.4005,41093.96,213104.07
YD-G2-1,YD-G2_边线,0.0669,41090.77,212893.33
YD-G2-10,YD-G2_边线,0.0881,41108.08,213450.49
YD-G2-11,YD-G2_边线,0.1527,40583.41,213037.67
YD-G2-12,YD-G2_边线,0.0969,41013.02,213014.92
YD-G2-13,YD-G2_边线,0.271,41349.64,213221.48
YD-G2-14,YD-G2_边线,0.1633,40575.63,212967.63
YD-G2-15,YD-G2_边线,0.2045,40801.9,212955.7
YD-G2-16,YD-G2_边线,0.0718,40885.12,213506.3
YD-G2-17,YD-G2_边线,0.0749,40706.73,213550.92
YD-G2-18,YD-G2_边线,0.4752,40643.64,214174.28
YD-G2-19,YD-G2_边线,0.1473,39783.45,212997.3
YD-G2-2,YD-G2_边线,0.7729,41292.61,212850.81
YD-G2-20,YD-G2_边线,1.8357,39733.87,212747.24
YD-G2-21,YD-G2_边线,0.0975,41005.14,212944.94
YD-G2-22,YD-G2_边线,0.1584,40390.53,212561.77
YD-G2-3,YD-G2_边线,0.0696,40704.78,213902.64
YD-G2-4,YD-G2_边线,0.4972,40464.93,214241.68
YD-G2-5,YD-G2_边线,0.0635,41160.03,213263.19
YD-G2-6,YD-G2_边线,0.5937,41291.69,213053.7
YD-G2-7,YD-G2_边线,0.1442,41119.28,213100.91
YD-G2-8,YD-G2_边线,0.1871,40801.83,213026.08
YD-G2-9,YD-G2_边线,0.5228,41234.83,213913.25
YD-R2-1,YD-R2_边线,0.9085,41009.02,212891.65
YD-R2-10,YD-R2_边线,1.6938,40455.37,213802.61
YD-R2-11,YD-R2_边线,2.1411,40169.64,213886.82
YD-R2-12,YD-R2_边线,1.8105,40371.44,214017.64
YD-R2-2,YD-R2_边线,2.12,40451.51,214174.21
YD-R2-3,YD-R2_边线,2.78,41225.04,212843.81
YD-R2-4,YD-R2_边线,2.6639,41222.61,213088.77
YD-R2-5,YD-R2_边线,2.0292,41144.72,213611.37
YD-R2-6,YD-R2_边线,1.7673,41114.19,213499.21
YD-R2-7,YD-R2_边线,2.7193,41018.88,213127.14
YD-R2-8,YD-R2_边线,1.6444,40899.19,213555.63
YD-R2-9,YD-R2_边线,1.0915,40326.9,213838.44
YD-R2B1-1,YD-R2B1_边线,1.7649,40717.41,213603.07
YD-R2B1-2,YD-R2B1_边线,1.5827,40730.67,213726.23
YD-R2B1-3,YD-R2B1_边线,1.0044,40581.31,213767.95
YD-R2B1-4,YD-R2B1_边线,1.4697,40622.4,213933.49
YD-R2B1-5,YD-R2B1_边线,1.9633,40624.78,214102.63
YD-S41-1,YD-S41_边线,0.6108,40556.36,213127.26
YD-S41-2,YD-S41_边线,0.6005,40752.85,213835.53
YD-U12-1,YD-U12_边线,0.3323,41335.04,212651.12
YD-U12-2,YD-U12_边线,0.3369,40543.01,213065.49
